region;english
Wien;vienna
Burgenland;burgenland
Kärnten;carinthia
Salzburg;salzburg
Steiermark;styria
Niederösterreich;lower austria
Oberösterreich;upper austria
Tirol;tyrol
Vorarlberg;vorarlberg
Klagenfurt;klagenfurt
Graz;graz
Linz;linz
Innsbruck;innsbruck
